Volts (V),Current (A)
-0.05,-6.967619999999999e-08
-0.0495,-7.149839999999999e-08
-0.049,-7.334579999999999e-08
-0.0485,-7.242159999999999e-08
-0.048,-7.326e-08
-0.0475,-7.0961e-08
-0.047,-6.801839999999999e-08
-0.0465,-6.744939999999999e-08
-0.046,-6.5007e-08
-0.0455,-6.81656e-08
-0.045000000000000005,-6.7983e-08
-0.044500000000000005,-6.79422e-08
-0.044000000000000004,-6.56716e-08
-0.043500000000000004,-6.396279999999999e-08
-0.043000000000000003,-6.28918e-08
-0.0425,-6.163779999999999e-08
-0.042,-6.12466e-08
-0.0415,-5.9542199999999996e-08
-0.041,-5.9191799999999994e-08
-0.0405,-5.8906199999999996e-08
-0.04,-5.966899999999999e-08
-0.0395,-5.4762199999999995e-08
-0.039,-5.23438e-08
-0.0385,-5.2650799999999995e-08
-0.038,-5.2200799999999995e-08
-0.0375,-5.1744799999999994e-08
-0.037000000000000005,-4.9992999999999996e-08
-0.036500000000000005,-5.1107599999999995e-08
-0.036000000000000004,-4.9088599999999995e-08
-0.035500000000000004,-4.962579999999999e-08
-0.035,-4.7712199999999995e-08
-0.0345,-4.6316199999999994e-08
-0.034,-4.6550599999999996e-08
-0.0335,-4.76666e-08
-0.033,-4.7519599999999996e-08
-0.0325,-4.726559999999999e-08
-0.032,-4.7414e-08
-0.0315,-4.7592999999999995e-08
-0.031,-4.64674e-08
-0.030500000000000003,-4.59456e-08
-0.030000000000000002,-4.37342e-08
-0.029500000000000002,-4.31408e-08
-0.029,-4.2285e-08
-0.0285,-4.2146799999999996e-08
-0.028,-4.0999999999999997e-08
-0.0275,-4.0339599999999994e-08
-0.027,-3.95534e-08
-0.026500000000000003,-3.92702e-08
-0.026000000000000002,-3.6213999999999996e-08
-0.025500000000000002,-3.3737799999999997e-08
-0.025,-3.30164e-08
-0.0245,-3.43764e-08
-0.024,-3.3237599999999994e-08
-0.0235,-3.25286e-08
-0.023,-3.18286e-08
-0.022500000000000003,-3.1354199999999995e-08
-0.022000000000000002,-3.06174e-08
-0.021500000000000002,-3.03444e-08
-0.021,-2.8702799999999998e-08
-0.0205,-2.8301799999999997e-08
-0.02,-2.9169599999999997e-08
-0.0195,-2.79872e-08
-0.019,-2.6950399999999998e-08
-0.018500000000000003,-2.6736399999999997e-08
-0.018000000000000002,-2.6154799999999997e-08
-0.0175,-2.4883599999999998e-08
-0.017,-2.5004799999999997e-08
-0.0165,-2.3692599999999997e-08
-0.016,-2.2867199999999996e-08
-0.0155,-2.2719199999999997e-08
-0.015000000000000001,-2.2181e-08
-0.0145,-2.1233e-08
-0.014,-2.0539399999999998e-08
-0.0135,-2.0073999999999998e-08
-0.013000000000000001,-1.91468e-08
-0.0125,-1.8207599999999998e-08
-0.012,-1.7037999999999997e-08
-0.0115,-1.6020999999999998e-08
-0.011000000000000001,-1.5866799999999998e-08
-0.0105,-1.5348199999999997e-08
-0.01,-1.4735e-08
-0.0095,-1.3585799999999999e-08
-0.009000000000000001,-1.31282e-08
-0.0085,-1.26478e-08
-0.008,-1.1956e-08
-0.007500000000000001,-1.1201799999999999e-08
-0.007,-1.0537799999999999e-08
-0.006500000000000001,-1.0078199999999999e-08
-0.006,-8.3124e-09
-0.0055000000000000005,-8.807e-09
-0.005,-8.4941e-09
-0.0045000000000000005,-7.7812e-09
-0.004,-6.999e-09
-0.0035,-6.3637e-09
-0.003,-5.6222e-09
-0.0025,-4.8715e-09
-0.002,-4.2928e-09
-0.0015,-3.3343e-09
-0.001,-2.7232e-09
-0.0005,-1.8217e-09
0.0,-1.105e-09
0.0005,-8.648000000000001e-11
0.001,4.8598e-10
0.0015,1.0561e-09
0.002,1.7393e-09
0.0025,2.3107e-09
0.003,3.1278e-09
0.0035,3.835e-09
0.004,4.6134e-09
0.0045000000000000005,5.3034e-09
0.005,6.1546e-09
0.0055000000000000005,6.8207e-09
0.006,7.4729e-09
0.006500000000000001,8.455e-09
0.007,9.2877e-09
0.007500000000000001,9.9702e-09
0.008,1.09071e-08
0.0085,1.13296e-08
0.009000000000000001,1.2161199999999998e-08
0.0095,1.22364e-08
0.01,1.3526199999999999e-08
0.0105,1.4575799999999998e-08
0.011000000000000001,1.5440599999999997e-08
0.0115,1.52528e-08
0.012,1.6003599999999997e-08
0.0125,1.6699999999999997e-08
0.013000000000000001,1.7802e-08
0.0135,1.80424e-08
0.014,1.8263999999999997e-08
0.0145,1.9223e-08
0.015000000000000001,1.9727e-08
0.0155,2.0769999999999997e-08
0.016,2.21506e-08
0.0165,2.3297799999999997e-08
0.017,2.2464999999999996e-08
0.0175,2.2636599999999998e-08
0.018000000000000002,2.3724399999999996e-08
0.018500000000000003,2.4177399999999997e-08
0.019,2.6015999999999996e-08
0.0195,2.5382399999999997e-08
0.02,2.69944e-08
0.0205,2.7290199999999996e-08
0.021,2.7387199999999997e-08
0.021500000000000002,2.9015999999999997e-08
0.022000000000000002,2.9184999999999996e-08
0.022500000000000003,2.9611399999999998e-08
0.023,3.03652e-08
0.0235,3.11532e-08
0.024,3.1949599999999996e-08
0.0245,3.2439599999999996e-08
0.025,3.4307199999999995e-08
0.025500000000000002,3.5627199999999996e-08
0.026000000000000002,3.60848e-08
0.026500000000000003,3.6842399999999995e-08
0.027,3.7409599999999994e-08
0.0275,3.7281999999999996e-08
0.028,3.77112e-08
0.0285,3.9518599999999996e-08
0.029,4.0350999999999995e-08
0.029500000000000002,3.95512e-08
0.030000000000000002,3.9816799999999994e-08
0.030500000000000003,4.05592e-08
0.031,4.1165199999999996e-08
0.0315,4.3231799999999995e-08
0.032,4.3032799999999995e-08
0.0325,4.51052e-08
0.033,4.3802e-08
0.0335,4.414139999999999e-08
0.034,4.4876199999999995e-08
0.0345,4.5303e-08
0.035,4.7402799999999994e-08
0.035500000000000004,4.84486e-08
0.036000000000000004,4.8383199999999995e-08
0.036500000000000005,4.8295799999999994e-08
0.037000000000000005,4.978439999999999e-08
0.0375,4.96036e-08
0.038,5.0274e-08
0.0385,5.1252399999999996e-08
0.039,5.1562599999999995e-08
0.0395,5.175199999999999e-08
0.04,5.2196799999999997e-08
0.0405,5.52586e-08
0.041,5.386059999999999e-08
0.0415,5.3836399999999995e-08
0.042,5.635479999999999e-08
0.0425,5.6010199999999994e-08
0.043000000000000003,5.7203999999999994e-08
0.043500000000000004,6.00382e-08
0.044000000000000004,6.043799999999999e-08
0.044500000000000005,6.075959999999999e-08
0.045000000000000005,5.97284e-08
0.0455,6.01838e-08
0.046,6.288879999999999e-08
0.0465,6.21808e-08
0.047,6.321559999999999e-08
0.0475,6.36268e-08
0.048,6.388319999999999e-08
0.0485,6.56392e-08
0.049,6.648079999999999e-08
0.0495,6.820419999999999e-08
0.05,7.079839999999999e-08
